key,type,title,year,doi,has_doi,status,candidate_doi,candidate_confidence,note
LanderDM202641750183,article,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,2026,10.3390/brainsci16020182,True,verified,,,DOI resolves
GoeppT202541388754,article,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,2025,10.1111/sms.70178,True,verified,,,DOI resolves
GoeppT202540888365,article,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,2025,10.1111/sms.70122,True,verified,,,DOI resolves
RenL202540563713,article,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,2025,10.3390/brainsci15060541,True,verified,,,DOI resolves
SilvaCMAFD202540082774,article,Does Mental Fatigue Affect Physical Performance in Wheelchair Basketball Players? An Individualized Cognitive Load Approach.,2025,10.1177/00315125251320422,True,verified,,,DOI resolves
PraterFaheyM202539413448,article,Motivational context determines the impact of aversive outcomes on mental effort allocation.,2025,10.1016/j.cognition.2024.105973,True,verified,,,DOI resolves
AlgermissenJ202438773022,article,Pupil dilation reflects effortful action invigoration in overcoming aversive Pavlovian biases.,2024,10.3758/s13415-024-01191-y,True,verified,,,DOI resolves
LorceryA202438734281,article,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis.,2024,10.1016/j.psychsport.2024.102660,True,verified,,,DOI resolves
MahaliaPraterFahey2023883b4f,article,Motivational context determines the impact of aversive outcomes on mental effort allocation,2023,10.1101/2023.10.27.564461,True,verified,,,DOI resolves
FerreiraMEC202437678643,article,Prolonged cognitive effort impairs inhibitory control and causes significant mental fatigue after an endurance session with an auditive distractor in professional soccer players.,2024,10.1016/j.psychsport.2023.102533,True,verified,,,DOI resolves
LambregtsBIHM202337257522,article,Fatigue during acute systemic inflammation is associated with reduced mental effort expenditure while task accuracy is preserved.,2023,10.1016/j.bbi.2023.05.013,True,verified,,,DOI resolves
SunL202236078749,article,An Investigation of the Effects of Brain Fatigue on the Sustained Attention of Intelligent Coal Mine VDT Operators.,2022,10.3390/ijerph191711034,True,verified,,,DOI resolves
BogdanovM202235724812,article,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson's patients.,2022,10.1016/j.nlm.2022.107652,True,verified,,,DOI resolves
BruijelJ202335107392,article,Mental effort and recovery from task-induced fatigue in people with traumatic brain injury.,2023,10.1080/09638288.2022.2030416,True,verified,,,DOI resolves
SoutschekA202032710816,article,Causal role of lateral prefrontal cortex in mental effort and fatigue.,2020,10.1002/hbm.25146,True,verified,,,DOI resolves
AbenB202032273486,article,Cognitive Effort Modulates Connectivity between Dorsal Anterior Cingulate Cortex and Task-Relevant Cortical Areas.,2020,10.1523/JNEUROSCI.2948-19.2020,True,verified,,,DOI resolves
BambrahV201931522029,article,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks.",2019,10.1016/j.concog.2019.102812,True,verified,,,DOI resolves
OttoT201829912895,article,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment.,2018,10.1371/journal.pone.0198204,True,verified,,,DOI resolves
OttoAR201929750987,article,The opportunity cost of time modulates cognitive effort.,2019,10.1016/j.neuropsychologia.2018.05.006,True,verified,,,DOI resolves
BerardJA201829670491,article,A Longitudinal Evaluation of Cognitive Fatigue on a Task of Sustained Attention in Early Relapsing-Remitting Multiple Sclerosis.,2018,10.7224/1537-2073.2016-106,True,verified,,,DOI resolves
HsuCF201829432429,article,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task.,2018,10.1371/journal.pone.0191479,True,verified,,,DOI resolves
HsuCF201728377736,article,Differences in Perceived Mental Effort Required and Discomfort during a Working Memory Task between Individuals At-risk And Not At-risk for ADHD.,2017,10.3389/fpsyg.2017.00407,True,verified,,,DOI resolves
AShenhav20179df8a4,article,Toward a Rational and Mechanistic Account of Mental Effort.,2017,10.1146/annurev-neuro-072116-031526,True,verified,,,DOI resolves
PravatE201626846988,article,Hyperconnectivity of the dorsolateral prefrontal cortex following mental effort in multiple sclerosis patients with cognitive fatigue.,2016,10.1177/1352458515625806,True,verified,,,DOI resolves
TakasakiH201424743457,article,"A description of neck motor performance, neck pain, fatigue, and mental effort while driving in a sample with chronic whiplash-associated disorders.",2014,10.1097/PHM.0000000000000087,True,verified,,,DOI resolves
PrudkovPN201324304801,article,Mental effort and fatigue as consequences of monotony.,2013,10.1017/S0140525X13001155,True,verified,,,DOI resolves
KurzbanR201324304775,article,An opportunity cost model of subjective effort and task performance.,2013,10.1017/S0140525X12003196,True,verified,,,DOI resolves
BelmontA200919574545,article,"Subjective fatigue, mental effort, and attention deficits after severe traumatic brain injury.",2009,10.1177/1545968309340327,True,verified,,,DOI resolves
BarakatA202541022693,article,Neurometabolic predictors of mental effort in the frontal cortex.,2025,10.1038/s41398-025-03554-6,True,verified,,,DOI resolves
MllerHE202336369737,article,Considerations on gradual glutamate accumulation related to cognitive task performance.,2023,10.1177/0271678X221139550,True,verified,,,DOI resolves
WiehlerA202235961314,article,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions.,2022,10.1016/j.cub.2022.07.010,True,verified,,,DOI resolves
BaraniukJN202133440400,article,Exercise modifies glutamate and other metabolic biomarkers in cerebrospinal fluid from Gulf War Illness and Myalgic encephalomyelitis / Chronic Fatigue Syndrome.,2021,10.1371/journal.pone.0244116,True,verified,,,DOI resolves
StrasserA202032688366,article,Glutamine-to-glutamate ratio in the nucleus accumbens predicts effort-based motivated performance in humans.,2020,10.1038/s41386-020-0760-6,True,verified,,,DOI resolves
LepannetierS201830271326,article,Activation of TRPC1 Channel by Metabotropic Glutamate Receptor mGluR5 Modulates Synaptic Plasticity and Spatial Working Memory.,2018,10.3389/fncel.2018.00318,True,verified,,,DOI resolves
PflibsenL201526332770,article,"Executive function deficits and glutamatergic protein alterations in a progressive 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine mouse model of Parkinson's disease.",2015,10.1002/jnr.23638,True,verified,,,DOI resolves
ChenX202641808199,article,The Distinct Roles of the Dorsolateral Prefrontal Cortex and Dorsal Anterior Cingulate Cortex in Cognitive Control: Evidence From Transcranial Temporal Interference Stimulation.,2026,10.1111/psyp.70269,True,verified,,,DOI resolves
SuJ202234907025,article,Task-Specific Neural Representations of Generalizable Metacognitive Control Signals in the Human Dorsal Anterior Cingulate Cortex.,2022,10.1523/JNEUROSCI.1283-21.2021,True,verified,,,DOI resolves
YeeDM202133707296,article,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance.,2021,10.1523/JNEUROSCI.2550-20.2021,True,verified,,,DOI resolves
MllerT201929738794,article,Motivational fatigue: A neurocognitive framework for the impact of effortful exertion on subsequent motivation.,2019,10.1016/j.neuropsychologia.2018.04.030,True,verified,,,DOI resolves
KrauseUtzA201425389397,article,Amygdala and Dorsal Anterior Cingulate Connectivity during an Emotional Working Memory Task in Borderline Personality Disorder Patients with Interpersonal Trauma History.,2014,10.3389/fnhum.2014.00848,True,verified,,,DOI resolves
ShenC201524591526,article,Anterior Cingulate Cortex Cells Identify Process-Specific Errors of Attentional Control Prior to Transient Prefrontal-Cingulate Inhibition.,2015,10.1093/cercor/bhu028,True,verified,,,DOI resolves
ShenhavA201323889930,article,The expected value of control: an integrative theory of anterior cingulate cortex function.,2013,10.1016/j.neuron.2013.07.007,True,verified,,,DOI resolves
FalkenbergLE201222411802,article,Resting-state glutamate level in the anterior cingulate predicts blood-oxygen level-dependent response to cognitive control.,2012,10.1073/pnas.1115628109,True,verified,,,DOI resolves
SchulzKP201121515388,article,Preparatory activity and connectivity in dorsal anterior cingulate cortex for cognitive control.,2011,10.1016/j.neuroimage.2011.04.023,True,verified,,,DOI resolves
BakshiN201121306732,article,Inefficiently increased anterior cingulate modulation of cortical systems during working memory in young offspring of schizophrenia patients.,2011,10.1016/j.jpsychires.2011.01.002,True,verified,,,DOI resolves
MulertC200717403530,article,Auditory cortex and anterior cingulate cortex sources of the early evoked gamma-band response: relationship to task difficulty and mental effort.,2007,10.1016/j.neuropsychologia.2007.02.020,True,verified,,,DOI resolves
XueAM202541256715,article,"Strong mnemonic prediction errors increase cognitive control, attention, and arousal.",2025,10.1101/2025.10.02.680173,True,verified,,,DOI resolves
MechtenbergH202541044289,article,"Insights into effortful adaptation during speech perception: The role of dopamine, norepinephrine, and prediction error.",2025,10.3758/s13415-025-01355-4,True,verified,,,DOI resolves
SkabaniaJ202539909338,article,Cognitive load reduces the reinforcement of ventral striatum by anterior insula in taste processing: An fMRI study on self-control.,2025,10.1016/j.neuroscience.2025.02.001,True,verified,,,DOI resolves
PrunellCastaA202438665069,article,"Allostatic load, adverse childhood experiences, executive functions, and BMI status in adolescents and young adults.",2024,10.1002/ajhb.24089,True,verified,,,DOI resolves
BishopC202340337447,article,The relationship between school-age children's interoceptive awareness and executive functioning: An exploratory study.,2023,10.1177/03080226221128184,True,verified,,,DOI resolves
AngiolettiL202236213612,article,EEG brain oscillations are modulated by interoception in response to a synchronized motor vs. cognitive task.,2022,10.3389/fnana.2022.991522,True,verified,,,DOI resolves
BaianoC202133404793,article,Linking perception of bodily states and cognitive control: the role of interoception in impulsive behaviour.,2021,10.1007/s00221-020-06022-3,True,verified,,,DOI resolves
KaminskiJ202031521336,article,Association of Cortical Glutamate and Working Memory Activation in Patients With Schizophrenia: A Multimodal Proton Magnetic Resonance Spectroscopy and Functional Magnetic Resonance Imaging Study.,2020,10.1016/j.biopsych.2019.07.011,True,verified,,,DOI resolves
OttinoGonzlezJ201930991312,article,Allostatic load and executive functions in overweight adults.,2019,10.1016/j.psyneuen.2019.04.009,True,verified,,,DOI resolves
SethAK201628080966,article,Active interoceptive inference and the emotional brain.,2016,10.1098/rstb.2016.0007,True,verified,,,DOI resolves
StephanKE201627895566,article,Allostatic Self-efficacy: A Metacognitive Theory of Dyshomeostasis-Induced Fatigue and Depression.,2016,10.3389/fnhum.2016.00550,True,verified,,,DOI resolves
CathcartS201019817882,article,Noxious inhibition of temporal summation is impaired in chronic tension-type headache.,2010,10.1111/j.1526-4610.2009.01545.x,True,verified,,,DOI resolves
CathcartS200919499286,article,Effect of mental stress on cold pain in chronic tension-type headache sufferers.,2009,10.1007/s10194-009-0131-5,True,verified,,,DOI resolves
OttoARoss2017201863,article,The opportunity cost of time modulates cognitive effort,2017,10.1101/201863,True,verified,,,DOI resolves
SabatMagdalena202285201,article,"Cognitive load, fatigue and aversive simulator symptoms but not manipulated zeitgebers affect duration perception in virtual reality",2022,10.1038/s41598-022-18520-1,True,verified,,,DOI resolves
MilyavskayaMarina20188npfx,article,"More Effort, Less Fatigue: The Role of Interest in Increasing Effort and Reducing Mental Fatigue",2018,10.31234/osf.io/8npfx,True,verified,,,DOI resolves
unknown20253supp,article,Supplemental Material for Measuring Subjective Mental Effort as an Aversive and Enjoyable Phenomenon,2025,10.1037/mot0000393.supp,True,verified,,,DOI resolves
DeLucaJohn200530006,article,"Fatigue, Cognition, and Mental Effort",2005,10.7551/mitpress/2967.003.0006,True,verified,,,DOI resolves
LambregtsBritt202207043,article,Effects of lipopolysaccharide-induced systemic inflammation and fatigue on cognitive effort expenditure,2022,10.1016/j.bbi.2022.07.043,True,verified,,,DOI resolves
LambregtsBIHM202108108,article,Effects of lipopolysaccharide on cognitive effort expenditure and its relation to IL-6 and fatigue,2021,10.1016/j.bbi.2021.08.108,True,verified,,,DOI resolves
YanXu2020110283,article,Cognitive effort investment and opportunity costs in strategic decision-making: An individual differences examination,2020,10.1016/j.paid.2020.110283,True,verified,,,DOI resolves
WahlersJustinN2025000393,article,Measuring subjective mental effort as an aversive and enjoyable phenomenon.,2025,10.1037/mot0000393,True,verified,,,DOI resolves
PattersonBD1981810395,article,Metabolic Aspects of Chilling Resistance: Alanine Accumulation and Glutamate Depletion in Relation to Chilling Sensitivity in Passionfruit Species,1981,10.1071/pp9810395,True,verified,,,DOI resolves
JohnsonEricJ200810003,article,"Man, my brain is tired: Linking depletion and cognitive effort in choice",2008,10.1016/j.jcps.2007.10.003,True,verified,,,DOI resolves
YeeDebbieM2020305482,article,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance,2020,10.1101/2020.09.20.305482,True,verified,,,DOI resolves
UmemotoAkina2017199687,article,Electrophysiological indices of anterior cingulate cortex function reveal changing levels of cognitive effort and reward valuation that sustain task performance,2017,10.1101/199687,True,verified,,,DOI resolves
AlexanderWilliam2020m9xh3,article,"Symmetric and Asymmetric Causal Neural Firing Interactions across Striatum, Anterior Cingulate and Prefrontal Cortex during Cognitive Control",2020,10.31234/osf.io/m9xh3,True,verified,,,DOI resolves
MedallaMaria200901006,article,Synapses with Inhibitory Neurons Differentiate Anterior Cingulate from Dorsolateral Prefrontal Pathways Associated with Cognitive Control,2009,10.1016/j.neuron.2009.01.006,True,verified,,,DOI resolves
CiceroDC200919731,article,Prefrontal Cortex and Anterior Cingulate Cue-Related Activity during a Cognitive Control Task,2009,10.1016/s1053-8119(09)71973-1,True,verified,,,DOI resolves
MartinKevanA2009618026,article,Faculty Opinions recommendation of Synapses with inhibitory neurons differentiate anterior cingulate from dorsolateral prefrontal pathways associated with cognitive control.,2009,10.3410/f.1157953.618026,True,verified,,,DOI resolves
MacDonaldAngus200009364,article,Functional double dissociation of dorsolateral prefrontal cortex and anterior cingulate cortex in cognitive control,2000,10.1016/s1053-8119(00)90936-4,True,verified,,,DOI resolves
VenturaBortCarlos2023tuzwp,article,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation.,2023,10.31234/osf.io/tuzwp,True,verified,,,DOI resolves
VenturaBortCarlos202426613,article,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,2024,10.1002/hbm.26613,True,verified,,,DOI resolves
SedleyWilliam2024105536,article,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,2024,10.1016/j.neubiorev.2024.105536,True,verified,,,DOI resolves
ManganBrodieEdward2026n2wv1,article,The Missing Link: Validating the Working Memory Adaptive Fatigue with N-Back Difficulty Protocol for Active Cognitive Fatigue Induction,2026,10.31234/osf.io/h4n2w_v1,True,verified,,,DOI resolves
WestfieldPaul2024004562,article,"Working Memory Capacity, Mental Fatigue, and Human Performance",2024,10.5220/0013152600004562,True,verified,,,DOI resolves
EvaMass2022003622,article,How Does Cognitive Fatigue and Mental Workload Influence Alarm Detection in Flight Simulator? Classification of Electrophysiological Signatures with Explainable IA,2022,10.5220/0011958100003622,True,verified,,,DOI resolves
LoristMonicqueM200501018,article,Impaired cognitive control and reduced cingulate activity during mental fatigue,2005,10.1016/j.cogbrainres.2005.01.018,True,verified,,,DOI resolves
ObaidLiqa202442194,article,The effect of a psychological counselling approach on cognitive load and mental fatigue among young 110-meter hurdles athletes,2024,10.37359/jope.v36(4)2024.2194,True,verified,,,DOI resolves
MathiasPessiglione2025ecf268,article,Origins and consequences of cognitive fatigue.,2025,10.1016/j.tics.2025.02.005,True,verified,,,DOI resolves
MGailliot200893ef52,article,Unlocking the Energy Dynamics of Executive Functioning: Linking Executive Functioning to Brain Glycogen,2008,10.1111/j.1745-6924.2008.00077.x,True,verified,,,DOI resolves
SFairclough2004b105f8,article,A metabolic measure of mental effort.,2004,10.1016/J.BIOPSYCHO.2003.10.001,True,verified,,,DOI resolves
MEngstrm20150c3313,article,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks,2015,10.3389/fnhum.2014.01071,True,verified,,,DOI resolves
TobiasOtto20141e3f01,article,Neural correlates of mental effort evaluation--involvement of structures related to self-awareness.,2014,10.1093/scan/nss136,True,verified,,,DOI resolves
